model_name,scan_name,mean_ssim,mean_mse,mean_psnr,mean_mae,sample_avg_ssim,sample_avg_psnr,sample_avg_mse,sample_avg_mae,mean_std,rmv,ause,spearman_corr_uncert_err,pearson_corr_uncert_err,mpiw_95
Ensemble (05),p27_02,0.9048463106155396,0.0014839202631264925,28.285894347810725,0.025033701211214066,0.8891697406768799,27.547587046552167,0.0017601683270186187,0.02734066769480705,0.012983421795070171,0.016620712354779243,0.20637920332537613,0.661160945892334,0.4919951260089874,0.050894085
Ensemble (05),p27_03,0.9154506921768188,0.000893574149813503,30.488694034060295,0.02072255127131939,0.903544795513153,29.76711316118937,0.0010553568601608277,0.022489908337593078,0.010348442941904068,0.012719384394586086,0.2552833681715404,0.5412390828132629,0.4290967881679535,0.040565193
Ensemble (05),p27_04,0.8959172964096069,0.0012490525841712952,29.03419277771011,0.02330021560192108,0.8820762991905212,28.318676508052693,0.0014728510985150933,0.025372136011719705,0.011732833459973335,0.014959897845983505,0.26241600498034723,0.6066442131996155,0.4540838897228241,0.045991834
Ensemble (05),p28_01,0.8385237455368042,0.0024509234353899956,26.106702554990452,0.037728287279605865,0.826210904121399,25.61412678018553,0.0027454846072942018,0.03998083472251892,0.015437695197761059,0.01716279424726963,0.5298647356139798,0.15831291675567627,0.1777736395597458,0.06051465
Ensemble (05),p28_02,0.8957564830780029,0.0013170343590900302,28.804028949178228,0.027629429474473,0.886626923084259,28.278819647294608,0.0014865290839225053,0.029329941794276237,0.011450007557868958,0.013019012287259102,0.4490548449968823,0.19304141402244568,0.20519722998142242,0.0448832
Ensemble (05),p28_03,0.8647165894508362,0.0019428473897278309,27.11561311804783,0.03372593969106674,0.8525947332382202,26.554473882590298,0.0022109960205852985,0.03596976175904274,0.014632854610681534,0.01637524552643299,0.468038030461015,0.17020846903324127,0.19097597897052765,0.05735975
Ensemble (05),p29_01,0.8943050503730774,0.001288637868128717,28.898691105516015,0.026169536635279655,0.8870232701301575,28.438681581821367,0.001432979037053883,0.02758374996483326,0.010055523365736008,0.012014204636216164,0.3396208726307584,0.36748358607292175,0.32088831067085266,0.039416898
Ensemble (05),p29_02,0.8641725182533264,0.0019700778648257256,27.055166085613177,0.031946249306201935,0.8541789174079895,26.586473837503423,0.0021946454886347055,0.03376071229577064,0.012678107246756554,0.014985577203333378,0.3267129301248779,0.38304582238197327,0.3439232110977173,0.049697265
Ensemble (05),p29_03,0.8409168124198914,0.0027321306988596916,25.634985288426805,0.03726416826248169,0.8249344110488892,25.055657661448024,0.003122201142832637,0.040042544901371005,0.016996925696730614,0.0197502039372921,0.3622559561295793,0.3818642795085907,0.3390315771102905,0.066626705
Ensemble (06),p08_01,0.8589114546775818,0.002645778702571988,25.7744648375814,0.03752711042761803,0.8424368401368459,25.191023290276323,0.003027110554588338,0.04040295879046122,0.017552850767970085,0.019527727738022804,0.4316117289128783,0.27071869373321533,0.2714262306690216,0.068805896
