model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
MC Dropout 30% (07),0.9403349450656346,0.02239140043868768,0.0004896502264142886,0.0002718680930859047,33.58906689000135,1.9959755280071605,0.013579871957855523,0.003535535725066048,0.9390450533555478,0.0225182920988155,33.45735960873187,1.9843396215342826,0.0005039930527753742,0.00027724274832531813,0.013767984710937809,0.003558215671073735,0.0025831422934840284,0.0007162475452153436,0.003649185085669114,0.0010278393948033944,0.19765463887002577,0.03511095110654597,0.628642327444894,0.04300552940568851,0.4999842848096575,0.04215718303792842,0.010125728557142858,0.0028076378633246704
MC Dropout 30% (08),0.9403617109571184,0.022389300596076123,0.0004893628115366115,0.0002717684883402329,33.59176676836101,1.9962609812294472,0.013575974612363696,0.003535185495482101,0.9390446771468435,0.02251871244065755,33.45726543757112,1.9843575114029341,0.0005040047392996943,0.00027725282582750975,0.013768058985338628,0.0035582930259871084,0.002625780582560974,0.0007282168135389281,0.0036869691285703428,0.0010387575030600179,0.19431621473349692,0.03490213045489232,0.632408744948251,0.0427447880985175,0.5060464586530413,0.042344009450581206,0.010292868891428572,0.002854555122228897
MC Dropout 30% (09),0.9403826832771301,0.022387514692996883,0.0004891321761533228,0.0002716968196107116,33.593955762519016,1.9965226639653038,0.01357286021645575,0.003534904622823579,0.9390446129299345,0.022519015156468387,33.45727359406035,1.9844137913999342,0.0005040075934846314,0.00027726968661529486,0.013768053927000498,0.003558398761886885,0.0026587925452206313,0.0007375044973117383,0.003716226700427234,0.0010470898860390867,0.191859764922733,0.0347408798731577,0.6351996387754167,0.04257872938854253,0.5106661856174469,0.04251522952102115,0.010422275528571428,0.0028909671694262026
MC Dropout 30% (10),0.9404003603117806,0.022385970197366798,0.0004889392160942972,0.0002716341048600656,33.595792970517216,1.9967604637683114,0.013570258899458768,0.003534690676073659,0.9390455986772265,0.022518716843314086,33.45735514116119,1.9844710405122883,0.0005040010257340914,0.00027727280605061006,0.013767950452331944,0.0035584640979673576,0.0026849537821752112,0.0007446828920696333,0.0037394715340009314,0.0010535018547656381,0.18994900207000198,0.03458355875168192,0.6373681391988482,0.04243185719689217,0.514382163967405,0.042644384736672175,0.01052482996,0.002919108506107731
MC Dropout 30% (15),0.940451683316912,0.02238038723724026,0.0004883852670900086,0.0002714236236173246,33.600979149767085,1.997262248140274,0.013562726841441173,0.0035337216184077244,0.9390464783850171,0.022518020444116025,33.45731682807551,1.9845128336780828,0.0005040068445737743,0.0002772735510019614,0.0137679128313348,0.0035583913423633965,0.002762806744846863,0.0007664251411174497,0.003808349005079637,0.0010728152951605373,0.18452684946292527,0.034098751733175316,0.6436283843857902,0.042029722595797646,0.5253342756203243,0.04296701475703357,0.01083000558,0.003004333652204351
MC Dropout 30% (20),0.9404762642724174,0.022378245740478586,0.0004881110316740629,0.0002713324025661148,33.60354763395279,1.9974680123885409,0.013559013631726966,0.0035333315351896433,0.9390455968039376,0.02251818045692061,33.457271794896975,1.9844475812622282,0.0005040102262240658,0.00027728215287747924,0.013767961480521685,0.003558411392239457,0.0028014120213420914,0.0007768837961615669,0.00384215963339162,0.0010818719847940355,0.18201829259540322,0.03383966634745268,0.6465690170015608,0.04181008170944251,0.5306622888360705,0.04309102816881552,0.010981332362857144,0.003045325825234251
MC Dropout 30% (25),0.9404918960162572,0.02237675384039755,0.0004879354869314343,0.000271264939747398,33.60518836071563,1.9976130058318815,0.013556710071861685,0.0035329950728112307,0.9390460993221829,0.02251796125008055,33.45733434647688,1.9844023544608544,0.0005040008195874972,0.0002772737157706431,0.013767893123839529,0.0035583087501946968,0.0028243090824356513,0.0007830425991566439,0.003862299929772057,0.0010870767374171857,0.18055028842551718,0.03367287624090955,0.6483344112123762,0.04169970837245995,0.5338615758078439,0.04316758823765086,0.011071088802857143,0.003069469242265778
MC Dropout 30% (30),0.9405021905899048,0.022375695245273414,0.0004878275695123371,0.00027122930688889315,33.606221585744684,1.997748797990226,0.01355524962501862,0.0035328578534808285,0.9390462975274949,0.022517904274023115,33.4573162154252,1.9844348264528555,0.0005040050147466742,0.00027728081198334805,0.013767932228566584,0.003558339847879374,0.0028396301769783973,0.0007873043830022686,0.0038757937428141828,0.0010907063960811417,0.1795764526694296,0.03356817229789452,0.6495133706501552,0.04162923225839004,0.5360059031418392,0.04322401848565874,0.011131147402857143,0.0030861752581113474
MC Dropout 30% (35),0.9405100243432182,0.02237498067651538,0.0004877453545174457,0.0002712064570464217,33.60700251591295,1.997827595974124,0.013554065647934117,0.0035327359764147355,0.9390471625814633,0.022517853342348446,33.45736767679867,1.9844438330729863,0.0005040005271735886,0.0002772884056259418,0.01376780797556342,0.003558340453123285,0.0028503240618322056,0.0007903486628126445,0.0038850773391978575,0.0010933927810793144,0.17888939371000812,0.0334908765806652,0.6503484964370727,0.04156703445330758,0.5375292556626456,0.04326678078759501,0.011173063511428572,0.003098108135341039
MC Dropout 30% (40),0.9405158264296395,0.022374743797056323,0.00048768095688756,0.00027118451891704675,33.60761857024587,1.997915191969901,0.013553219501461258,0.0035326933639844736,0.9390474013345582,0.02251800835969071,33.45740596751416,1.984473686749411,0.0005039974917287172,0.00027728926861848895,0.013767788534584805,0.003558389561642559,0.0028586272449631286,0.0007927091863222837,0.0038923890329896826,0.0010955019445906163,0.17838371548675683,0.0334319779562766,0.6509574907166618,0.041522885048922244,0.5386605313846043,0.04329111278565772,0.011205614705714287,0.00310736098277432
MC Dropout 30% (45),0.9405195576804025,0.02237459745849077,0.00048763864573884004,0.0002711745130388859,33.608034337282,1.9979880410274546,0.01355266983487772,0.0035326721372966967,0.9390470541848076,0.02251808724926528,33.457389619281926,1.9844954171818203,0.0005040006823781829,0.0002772943877098405,0.013767837634871829,0.0035584065034057932,0.00286485063178194,0.0007943353507886734,0.003897838420899797,0.0010969384714062654,0.17798912919122042,0.033387109522105156,0.6514392392975944,0.0414886970741811,0.5395358732768467,0.043314714517522925,0.011230007305714286,0.0031137356109353686
MC Dropout 30% (50),0.9405228274209159,0.022374230828481494,0.00048760606857410854,0.0002711588351622277,33.608338180897796,1.9980170213924133,0.013552186372024624,0.0035325561174857343,0.9390469566072737,0.022518069052803985,33.457344261921946,1.9844941830053864,0.0005040057436895142,0.0002772938079889506,0.013767848586397461,0.003558352582390062,0.002869899720618723,0.0007957047116669214,0.0039023159870079,0.001098211060593935,0.17767003033208495,0.03335623307218036,0.6518285512924195,0.04146714584314522,0.5402394831180573,0.04332579587408481,0.01124980168857143,0.0031191043774332944
